trade_date,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2020-07-07,-1.375,6.0,-0.43333333333333335
2020-07-08,-1.0,0.1428571428571428,0.05882352941176472
2020-07-09,inf,-0.1750000000001819,-0.2777777777777778
2020-07-10,3.0,-1.636363636363887,0.5384615384615385
2020-07-13,1.0,1.857142857142362,-0.09999999999999998
2020-07-15,-0.75,-2.5,-11.0
2020-07-16,2.25,-4.333333333333334,1.0
2020-07-17,0.3846153846153846,0.6000000000000001,-0.09999999999999998
2020-07-20,-0.11111111111111116,-0.3125,-0.33333333333333337
2020-07-21,-0.012500000000045475,-0.18181818181818177,0.25
2020-07-22,0.26582278481018484,0.11111111111111116,0.2666666666666666
2020-07-23,0.30000000000000004,0.5,0.368421052631579
2020-07-24,-0.15384615384615385,-0.4666666666666667,-0.15384615384615385
2020-07-27,-0.5454545454545454,-1.25,-0.7272727272727273
2020-07-28,0.6000000000000001,-3.0,1.1666666666666665
2020-07-29,0.0,-0.5,-0.3076923076923077
2020-07-30,0.75,1.0,0.11111111111111116
2020-07-31,0.03571428571428581,0.0,0.0
2020-08-03,0.034482758620689724,0.75,-0.4
2020-08-04,-0.33333333333333337,-0.7142857142857143,-1.3333333333333333
2020-08-05,0.30000000000000004,3.5,0.5
2020-08-06,-0.3076923076923077,-0.4444444444444444,1.3333333333333335
2020-08-07,0.22222222222222232,-1.2,0.4285714285714286
2020-08-10,-0.31818181818181823,0.0,-0.19999999999999996
2020-08-11,-0.33333333333333337,3.0,0.25
2020-08-12,1.2000000000000002,-0.5,-0.19999999999999996
2020-08-13,0.36363636363636354,-1.0,-0.375
2020-08-14,0.33333333333333326,inf,-0.6
2020-08-17,-0.4,-0.25,2.0
2020-08-19,-0.45833333333333337,-0.6666666666666667,4.5
2020-08-20,0.07692307692307687,0.75,-0.07272727272720658
2020-08-21,0.0714285714285714,0.1428571428571428,0.17647058823521022
2020-08-24,-0.2666666666666667,-0.375,-0.5833333333333333
2020-08-25,0.2727272727272727,-0.19999999999999996,-0.19999999999999996
2020-08-26,0.9285714285714286,1.0,1.25
2020-08-27,0.11111111111111116,0.0,0.22222222222222232
2020-08-28,0.2666666666666666,0.125,0.2727272727272727
2020-09-01,-0.1842105263157895,0.33333333333333326,-0.2857142857142857
2020-09-02,-0.12903225806451613,-0.33333333333333337,-1.0
2020-09-03,0.11111111111111116,0.0,inf
2020-09-04,0.19999999999999996,1.0,1.4
2020-09-07,0.11111111111111116,0.1875,0.16666666666666674
2020-09-08,0.19999999999999996,-0.21052631578947367,-0.1428571428571429
2020-09-09,-0.04166666666666663,0.1333333333333333,0.0
2020-09-10,0.0,0.0,0.0
2020-09-11,0.9130434782608696,0.3529411764705883,0.41666666666666674
2020-09-14,-0.5,-0.13043478260869568,-0.17647058823529416
2020-09-16,-0.3954545454545785,-0.09523809523809523,0.19999999999999996
2020-09-17,0.20300751879705836,0.21052631578947367,0.0
2020-09-18,0.1875,0.21739130434782616,0.2777777777777777
2020-09-21,-0.10526315789473684,-0.0714285714285714,-0.17391304347826086
2020-09-22,0.11764705882352944,0.07692307692307687,0.05263157894736836
2020-09-23,-0.42105263157894735,-0.3071428571428052,-0.6
2020-09-24,-0.6363636363636364,-0.4845360824742655,-0.25
2020-09-25,-1.25,-0.8,-1.1666666666666667
2020-09-28,7.0,-3.5,7.0
2020-09-29,-0.75,-2.0,-0.75
2020-09-30,-1.5,-0.4,-2.0
2020-10-01,-5.0,-2.333333333333333,-6.0
2020-10-02,-0.75,-1.5,-1.4
2020-10-05,5.0,-4.0,-4.0
2020-10-06,0.8333333333333333,0.5,0.5
2020-10-07,-0.09090909090909094,-0.11111111111111116,-0.2222222222222222
2020-10-08,-0.5,-1.0,-0.7142857142857143
2020-10-09,-1.8,inf,-3.75
2020-10-12,-3.375,-3.0,-0.7272727272727273
2020-10-13,0.0,0.25,-1.6666666666666665
2020-10-14,0.26315789473684204,0.3999999999999999,4.0
2020-10-15,0.16666666666666674,-0.2857142857142857,-0.6
2020-10-16,0.7142857142857142,0.19999999999999996,0.75
2020-10-19,0.08333333333333326,0.41666666666666674,1.0
2020-10-21,-0.7692307692307692,-0.47058823529411764,-1.4545454545454546
2020-10-22,0.16666666666666674,0.7777777777777777,-1.2
2020-10-23,0.0714285714285714,0.0625,3.0
2020-10-26,0.1333333333333333,0.11764705882352944,1.5
2020-10-27,0.05882352941176472,-0.1578947368421053,0.0
