trade_date,M1_price,M2_price,M3_price,M4_price,M1_M2_spread,M2_M3_spread,M3_M4_spread,M1_M2_spread_change,M2_M3_spread_change,M3_M4_spread_change
2020-07-07,6188.25,6189.0,6190.75,6186.5,-0.75,-1.75,4.25,-1.375,6.0,-0.43333333333333335
2020-07-08,6233.0,6233.0,6235.0,6230.5,0.0,-2.0,4.5,-1.0,0.1428571428571428,0.05882352941176472
2020-07-09,6300.85,6300.35,6302.0,6298.75,0.5,-1.6499999999996362,3.25,inf,-0.1750000000001819,-0.2777777777777778
2020-07-10,6418.05,6416.05,6415.0,6410.0,2.0,1.050000000000182,5.0,3.0,-1.636363636363887,0.5384615384615385
2020-07-13,6580.0,6576.0,6573.0,6568.5,4.0,3.0,4.5,1.0,1.857142857142362,-0.09999999999999998
2020-07-15,6385.0,6384.0,6384.75,6382.25,1.0,-0.75,2.5,-0.75,-2.5,-11.0
2020-07-16,6440.75,6437.5,6435.0,6430.0,3.25,2.5,5.0,2.25,-4.333333333333334,1.0
2020-07-17,6455.0,6450.5,6446.5,6442.0,4.5,4.0,4.5,0.3846153846153846,0.6000000000000001,-0.09999999999999998
2020-07-20,6493.25,6489.25,6486.5,6483.5,4.0,2.75,3.0,-0.11111111111111116,-0.3125,-0.33333333333333337
2020-07-21,6540.7,6536.75,6534.5,6530.75,3.949999999999818,2.25,3.75,-0.012500000000045475,-0.18181818181818177,0.25
2020-07-22,6496.0,6491.0,6488.5,6483.75,5.0,2.5,4.75,0.26582278481018484,0.11111111111111116,0.2666666666666666
2020-07-23,6558.0,6551.5,6547.75,6541.25,6.5,3.75,6.5,0.30000000000000004,0.5,0.368421052631579
2020-07-24,6425.0,6419.5,6417.5,6412.0,5.5,2.0,5.5,-0.15384615384615385,-0.4666666666666667,-0.15384615384615385
2020-07-27,6423.75,6421.25,6421.75,6420.25,2.5,-0.5,1.5,-0.5454545454545454,-1.25,-0.7272727272727273
2020-07-28,6484.0,6480.0,6479.0,6475.75,4.0,1.0,3.25,0.6000000000000001,-3.0,1.1666666666666665
2020-07-29,6480.0,6476.0,6475.5,6473.25,4.0,0.5,2.25,0.0,-0.5,-0.3076923076923077
2020-07-30,6439.75,6432.75,6431.75,6429.25,7.0,1.0,2.5,0.75,1.0,0.11111111111111116
2020-07-31,6422.5,6415.25,6414.25,6411.75,7.25,1.0,2.5,0.03571428571428581,0.0,0.0
2020-08-03,6500.5,6493.0,6491.25,6489.75,7.5,1.75,1.5,0.034482758620689724,0.75,-0.4
2020-08-04,6459.0,6454.0,6453.5,6454.0,5.0,0.5,-0.5,-0.33333333333333337,-0.7142857142857143,-1.3333333333333333
2020-08-05,6503.25,6496.75,6494.5,6495.25,6.5,2.25,-0.75,0.30000000000000004,3.5,0.5
2020-08-06,6483.5,6479.0,6477.75,6479.5,4.5,1.25,-1.75,-0.3076923076923077,-0.4444444444444444,1.3333333333333335
2020-08-07,6310.5,6305.0,6305.25,6307.75,5.5,-0.25,-2.5,0.22222222222222232,-1.2,0.4285714285714286
2020-08-10,6397.25,6393.5,6393.75,6395.75,3.75,-0.25,-2.0,-0.31818181818181823,0.0,-0.19999999999999996
2020-08-11,6384.5,6382.0,6383.0,6385.5,2.5,-1.0,-2.5,-0.33333333333333337,3.0,0.25
2020-08-12,6435.0,6429.5,6430.0,6432.0,5.5,-0.5,-2.0,1.2000000000000002,-0.5,-0.19999999999999996
2020-08-13,6261.5,6254.0,6254.0,6255.25,7.5,0.0,-1.25,0.36363636363636354,-1.0,-0.375
2020-08-14,6376.25,6366.25,6365.25,6365.75,10.0,1.0,-0.5,0.33333333333333326,inf,-0.6
2020-08-17,6450.75,6444.75,6444.0,6445.5,6.0,0.75,-1.5,-0.4,-0.25,2.0
2020-08-19,6691.75,6688.5,6687.5,6684.75,3.25,1.0,2.75,-0.45833333333333337,-0.6666666666666667,4.5
2020-08-20,6609.75,6606.25,6604.5,6601.95,3.5,1.75,2.550000000000182,0.07692307692307687,0.75,-0.07272727272720658
2020-08-21,6498.75,6495.0,6493.0,6490.0,3.75,2.0,3.0,0.0714285714285714,0.1428571428571428,0.17647058823521022
2020-08-24,6521.75,6519.0,6517.75,6516.5,2.75,1.25,1.25,-0.2666666666666667,-0.375,-0.5833333333333333
2020-08-25,6535.25,6531.75,6530.75,6529.75,3.5,1.0,1.0,0.2727272727272727,-0.19999999999999996,-0.19999999999999996
2020-08-26,6604.75,6598.0,6596.0,6593.75,6.75,2.0,2.25,0.9285714285714286,1.0,1.25
2020-08-27,6632.5,6625.0,6623.0,6620.25,7.5,2.0,2.75,0.11111111111111116,0.0,0.22222222222222232
2020-08-28,6681.5,6672.0,6669.75,6666.25,9.5,2.25,3.5,0.2666666666666666,0.125,0.2727272727272727
2020-09-01,6700.5,6692.75,6689.75,6687.25,7.75,3.0,2.5,-0.1842105263157895,0.33333333333333326,-0.2857142857142857
2020-09-02,6706.75,6700.0,6698.0,6698.0,6.75,2.0,0.0,-0.12903225806451613,-0.33333333333333337,-1.0
2020-09-03,6573.75,6566.25,6564.25,6563.0,7.5,2.0,1.25,0.11111111111111116,0.0,inf
2020-09-04,6724.5,6715.5,6711.5,6708.5,9.0,4.0,3.0,0.19999999999999996,1.0,1.4
2020-09-07,6805.75,6795.75,6791.0,6787.5,10.0,4.75,3.5,0.11111111111111116,0.1875,0.16666666666666674
2020-09-08,6685.25,6673.25,6669.5,6666.5,12.0,3.75,3.0,0.19999999999999996,-0.21052631578947367,-0.1428571428571429
2020-09-09,6751.5,6740.0,6735.75,6732.75,11.5,4.25,3.0,-0.04166666666666663,0.1333333333333333,0.0
2020-09-10,6686.0,6674.5,6670.25,6667.25,11.5,4.25,3.0,0.0,0.0,0.0
2020-09-11,6769.25,6747.25,6741.5,6737.25,22.0,5.75,4.25,0.9130434782608696,0.3529411764705883,0.41666666666666674
2020-09-14,6814.5,6803.5,6798.5,6795.0,11.0,5.0,3.5,-0.5,-0.13043478260869568,-0.17647058823529416
2020-09-16,6788.4,6781.75,6777.0,6772.5,6.649999999999636,4.75,4.5,-0.3954545454545785,-0.09523809523809523,0.19999999999999996
2020-09-17,6797.25,6789.25,6783.5,6779.0,8.0,5.75,4.5,0.20300751879705836,0.21052631578947367,0.0
2020-09-18,6833.25,6823.75,6816.75,6811.0,9.5,7.0,5.75,0.1875,0.21739130434782616,0.2777777777777777
2020-09-21,6710.5,6702.0,6695.5,6690.75,8.5,6.5,4.75,-0.10526315789473684,-0.0714285714285714,-0.17391304347826086
2020-09-22,6800.5,6791.0,6784.0,6779.0,9.5,7.0,5.0,0.11764705882352944,0.07692307692307687,0.05263157894736836
2020-09-23,6616.1,6610.6,6605.75,6603.75,5.5,4.850000000000364,2.0,-0.42105263157894735,-0.3071428571428052,-0.6
2020-09-24,6529.25,6527.25,6524.75,6523.25,2.0,2.5,1.5,-0.6363636363636364,-0.4845360824742655,-0.25
2020-09-25,6546.55,6547.05,6546.55,6546.8,-0.5,0.5,-0.25,-1.25,-0.8,-1.1666666666666667
2020-09-28,6567.5,6571.5,6572.75,6574.75,-4.0,-1.25,-2.0,7.0,-3.5,7.0
2020-09-29,6581.0,6582.0,6580.75,6581.25,-1.0,1.25,-0.5,-0.75,-2.0,-0.75
2020-09-30,6676.0,6675.5,6674.75,6674.25,0.5,0.75,0.5,-1.5,-0.4,-2.0
2020-10-01,6382.5,6384.5,6385.5,6388.0,-2.0,-1.0,-2.5,-5.0,-2.333333333333333,-6.0
2020-10-02,6554.25,6554.75,6554.25,6553.25,-0.5,0.5,1.0,-0.75,-1.5,-1.4
2020-10-05,6521.75,6524.75,6526.25,6529.25,-3.0,-1.5,-3.0,5.0,-4.0,-4.0
2020-10-06,6519.25,6524.75,6527.0,6531.5,-5.5,-2.25,-4.5,0.8333333333333333,0.5,0.5
2020-10-07,6669.75,6674.75,6676.75,6680.25,-5.0,-2.0,-3.5,-0.09090909090909094,-0.11111111111111116,-0.2222222222222222
2020-10-08,6679.5,6682.0,6682.0,6683.0,-2.5,0.0,-1.0,-0.5,-1.0,-0.7142857142857143
2020-10-09,6768.5,6766.5,6765.5,6762.75,2.0,1.0,2.75,-1.8,inf,-3.75
2020-10-12,6731.5,6736.25,6738.25,6737.5,-4.75,-2.0,0.75,-3.375,-3.0,-0.7272727272727273
2020-10-13,6685.25,6690.0,6692.5,6693.0,-4.75,-2.5,-0.5,0.0,0.25,-1.6666666666666665
2020-10-14,6705.25,6711.25,6714.75,6717.25,-6.0,-3.5,-2.5,0.26315789473684204,0.3999999999999999,4.0
2020-10-15,6739.25,6746.25,6748.75,6749.75,-7.0,-2.5,-1.0,0.16666666666666674,-0.2857142857142857,-0.6
2020-10-16,6724.5,6736.5,6739.5,6741.25,-12.0,-3.0,-1.75,0.7142857142857142,0.19999999999999996,0.75
